neg,neu,pos,compound,entropy,class
0.164,0.658,0.179,0.045,4.220260963673451,1
0.119,0.715,0.166,0.3768,4.175234968758602,1
0.281,0.503,0.217,-0.7645,4.17395430052927,1
0.325,0.559,0.116,-0.9766,4.233335671982205,1
0.192,0.667,0.141,-0.981,4.211064546428606,1
0.174,0.679,0.147,-0.6872,4.15152363599643,1
0.111,0.644,0.245,0.8885,4.2240636235562485,1
0.102,0.681,0.217,0.8316,4.1131890454100555,1
0.237,0.685,0.077,-0.9888,4.196079095809578,1
0.256,0.618,0.126,-0.9408,4.18069721680285,1
0.209,0.64,0.151,-0.8479,4.156013448850444,1
0.215,0.617,0.167,-0.8786,4.169428709276962,1
0.205,0.606,0.189,-0.5106,4.201098392439865,1
0.083,0.825,0.092,0.2596,4.207137797804754,1
0.192,0.666,0.141,-0.6077,4.280623426569816,1
0.125,0.618,0.257,0.8635,4.117324725286389,1
0.168,0.586,0.246,0.6269,4.151185379119951,1
0.15,0.599,0.25,0.8897,4.189712376390274,1
0.143,0.658,0.199,0.8709,4.1974114203749835,1
0.296,0.546,0.158,-0.9848,4.217215526410456,1
0.3,0.659,0.041,-0.9938,4.172449361785777,1
0.284,0.63,0.086,-0.9958,4.239558070518828,1
0.183,0.619,0.198,-0.1692,4.212955063907143,1
0.17,0.669,0.161,-0.4657,4.237730714360704,1
0.192,0.667,0.141,-0.981,4.211064546428606,1
0.298,0.531,0.171,-0.961,4.214612751941486,1
0.14,0.579,0.281,0.9516,4.193134519748691,1
0.113,0.813,0.075,-0.5828,4.114875997129561,1
0.131,0.579,0.29,0.9758,4.206920880469409,1
0.306,0.614,0.08,-0.9702,4.170799134724812,1
0.189,0.677,0.133,-0.7351,4.1870758603637,1
0.122,0.803,0.075,-0.5106,4.128709798271096,1
0.0,0.787,0.213,0.8885,4.1684313737031475,1
0.235,0.558,0.207,-0.7578,4.125747346600486,1
0.292,0.614,0.094,-0.9469,4.184598422107777,1
0.12,0.731,0.149,0.7115,4.198476742924736,1
0.258,0.657,0.085,-0.9489,4.242562558802629,1
0.117,0.766,0.117,-0.25,4.1873157388845135,1
0.279,0.6,0.122,-0.9631,4.1531167843715675,1
0.24,0.631,0.129,-0.9174,4.156564844220142,1
0.265,0.567,0.168,-0.8779,4.188456204665255,1
0.26,0.599,0.141,-0.9628,4.121969940457556,1
0.13,0.767,0.104,-0.5095,4.1599344074394295,1
0.245,0.629,0.126,-0.9274,4.167493162589666,1
0.179,0.674,0.147,-0.0553,4.180610773786261,1
0.267,0.574,0.159,-0.9039,4.195914792137647,1
0.157,0.736,0.107,-0.6705,4.1310433709690555,1
0.116,0.782,0.102,-0.5267,4.184633281021892,1
0.158,0.653,0.19,0.9287,4.227088295209961,1
0.346,0.474,0.179,-0.8971,4.039167778810144,1
0.235,0.723,0.042,-0.908,4.192326370709833,1
0.075,0.523,0.402,0.9837,4.2175572906842955,1
0.084,0.766,0.151,0.4215,4.164914066943263,1
0.181,0.627,0.192,0.0217,4.206682453452005,1
0.247,0.64,0.113,-0.9729,4.185541284637877,1
0.117,0.883,0.0,-0.6249,4.073822598375163,1
0.448,0.414,0.138,-0.9042,3.9430898531998846,1
0.039,0.622,0.339,0.9707,4.173677142569762,1
0.191,0.527,0.282,0.7855,4.165458282142265,1
0.039,0.622,0.339,0.9707,4.173677142569762,1
0.144,0.74,0.117,-0.3612,4.18574392611488,1
0.107,0.667,0.227,0.8658,4.128127340242046,1
0.198,0.617,0.185,-0.6022,4.1512894499886634,1
0.049,0.911,0.041,-0.128,4.150124362495528,1
0.122,0.765,0.114,-0.2732,4.199714815699621,1
0.077,0.783,0.14,0.4215,4.198009202878908,1
0.213,0.634,0.152,-0.6654,4.2368926531085185,1
0.22,0.636,0.145,-0.961,4.181890042986826,1
0.17,0.6,0.229,0.8367,4.195399839317629,1
0.173,0.713,0.115,-0.8462,4.18532615623498,1
0.176,0.7,0.124,-0.946,4.21769578900731,1
0.138,0.711,0.151,0.1341,4.172946965501045,1
0.338,0.541,0.122,-0.891,4.234240953075984,1
0.161,0.612,0.227,0.8752,4.214170888463378,1
0.224,0.658,0.118,-0.9678,4.208927413402444,1
0.146,0.704,0.15,0.1611,4.198665557181421,1
0.28,0.535,0.185,-0.7783,4.194427443143699,1
0.192,0.584,0.224,0.5859,4.201030192307724,1
0.339,0.561,0.1,-0.9521,4.113439416135744,1
0.178,0.661,0.161,-0.4599,4.189324892086911,1
